names	accessions	source	normalized	description
ADP_ribosyl_GH	PF03747.13	Pfam	PF03747	ADP-ribosylglycohydrolase
ADSL_C	PF10397.8	Pfam	PF10397	Adenylosuccinate lyase C-terminus
Ad_cyc_g-alpha	PF08509.10	Pfam	PF08509	Adenylate cyclase G-alpha binding domain
AFOR_C	PF01314.17	Pfam	PF01314	Aldehyde ferredoxin oxidoreductase, domains 2 & 3
AftA_C	PF12249.7	Pfam	PF12249	Arabinofuranosyltransferase A C terminal
AftA_N	PF12250.7	Pfam	PF12250	Arabinofuranosyltransferase N terminal
AhpC-TSA	PF00578.20	Pfam	PF00578	AhpC/TSA family
AICARFT_IMPCHas	PF01808.17	Pfam	PF01808	AICARFT/IMPCHase bienzyme
AIG2_2	PF13772.5	Pfam	PF13772	AIG2-like family
AIRC	PF00731.19	Pfam	PF00731	AIR carboxylase
AIRS	PF00586.23	Pfam	PF00586	AIR synthase related protein, N-terminal domain
AIRS_C	PF02769.21	Pfam	PF02769	AIR synthase related protein, C-terminal domain
ALAD	PF00490.20	Pfam	PF00490	Delta-aminolevulinic acid dehydratase
AlaDh_PNT_C	PF01262.20	Pfam	PF01262	Alanine dehydrogenase/PNT, C-terminal domain
AlaDh_PNT_N	PF05222.14	Pfam	PF05222	Alanine dehydrogenase/PNT, N-terminal domain
Ala_racemase_C	PF00842.20	Pfam	PF00842	Alanine racemase, C-terminal domain
Ala_racemase_N	PF01168.19	Pfam	PF01168	Alanine racemase, N-terminal domain
Aldedh	PF00171.21	Pfam	PF00171	Aldehyde dehydrogenase family
Aldolase	PF01081.18	Pfam	PF01081	KDPG and KHG aldolase
Aldolase_II	PF00596.20	Pfam	PF00596	Class II Aldolase and Adducin N-terminal domain
Aldose_epim	PF01263.19	Pfam	PF01263	Aldose 1-epimerase
Aldo_ket_red	PF00248.20	Pfam	PF00248	Aldo/keto reductase family
Ald_deCOase	PF11266.7	Pfam	PF11266	Long-chain fatty aldehyde decarbonylase
Ald_Xan_dh_C	PF01315.21	Pfam	PF01315	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
Ald_Xan_dh_C2	PF02738.17	Pfam	PF02738	Molybdopterin-binding domain of aldehyde dehydrogenase
ALG3	PF05208.12	Pfam	PF05208	ALG3 protein
Alg6_Alg8	PF03155.14	Pfam	PF03155	ALG6, ALG8 glycosyltransferase family
Alginate_lyase	PF05426.11	Pfam	PF05426	Alginate lyase
Alginate_lyase2	PF08787.10	Pfam	PF08787	Alginate lyase
ALIX_LYPXL_bnd	PF13949.5	Pfam	PF13949	ALIX V-shaped domain binding to HIV
AlkA_N	PF06029.10	Pfam	PF06029	AlkA N-terminal domain
Alkyl_sulf_C	PF14864.5	Pfam	PF14864	Alkyl sulfatase C-terminal
Alk_phosphatase	PF00245.19	Pfam	PF00245	Alkaline phosphatase
Allantoicase	PF03561.14	Pfam	PF03561	Allantoicase repeat
Alliinase_C	PF04864.12	Pfam	PF04864	Allinase
ALO	PF04030.13	Pfam	PF04030	D-arabinono-1,4-lactone oxidase
Alpha-amyl_C2	PF07821.11	Pfam	PF07821	Alpha-amylase C-terminal beta-sheet domain
Alpha-L-AF_C	PF06964.11	Pfam	PF06964	Alpha-L-arabinofuranosidase C-terminal domain
Alpha-mann_mid	PF09261.10	Pfam	PF09261	Alpha mannosidase middle domain
Alpha_kinase	PF02816.17	Pfam	PF02816	Alpha-kinase family
Alpha_L_fucos	PF01120.16	Pfam	PF01120	Alpha-L-fucosidase
ALS_ss_C	PF10369.8	Pfam	PF10369	Small subunit of acetolactate synthase
Amidase	PF01425.20	Pfam	PF01425	Amidase
Amidase02_C	PF12123.7	Pfam	PF12123	N-acetylmuramoyl-l-alanine amidase
Amidase_2	PF01510.24	Pfam	PF01510	N-acetylmuramoyl-L-alanine amidase
Amidase_3	PF01520.17	Pfam	PF01520	N-acetylmuramoyl-L-alanine amidase
Amidinotransf	PF02274.16	Pfam	PF02274	Amidinotransferase
Amidohydro_1	PF01979.19	Pfam	PF01979	Amidohydrolase family
Amidohydro_2	PF04909.13	Pfam	PF04909	Amidohydrolase
Amidohydro_3	PF07969.10	Pfam	PF07969	Amidohydrolase family
Amido_AtzD_TrzD	PF09663.9	Pfam	PF09663	Amidohydrolase ring-opening protein (Amido_AtzD_TrzD)
AMIN	PF11741.7	Pfam	PF11741	AMIN domain
Aminotran_1_2	PF00155.20	Pfam	PF00155	Aminotransferase class I and II
Aminotran_3	PF00202.20	Pfam	PF00202	Aminotransferase class-III
Aminotran_4	PF01063.18	Pfam	PF01063	Amino-transferase class IV
Aminotran_5	PF00266.18	Pfam	PF00266	Aminotransferase class-V
Amino_oxidase	PF01593.23	Pfam	PF01593	Flavin containing amine oxidoreductase
AMNp_N	PF10423.8	Pfam	PF10423	Bacterial AMP nucleoside phosphorylase N-terminus
AMP-binding_C	PF13193.5	Pfam	PF13193	AMP-binding enzyme C-terminal domain
AMP-binding_C_2	PF14535.5	Pfam	PF14535	AMP-binding enzyme C-terminal domain
AMP_N	PF05195.15	Pfam	PF05195	Aminopeptidase P, N-terminal domain
AnfG_VnfG	PF03139.14	Pfam	PF03139	Vanadium/alternative nitrogenase delta subunit
ANF_receptor	PF01094.27	Pfam	PF01094	Receptor family ligand binding region
AnmK	PF03702.13	Pfam	PF03702	Anhydro-N-acetylmuramic acid kinase
Anth_synt_I_N	PF04715.12	Pfam	PF04715	Anthranilate synthase component I, N terminal region
Antibiotic_NAT	PF02522.13	Pfam	PF02522	Aminoglycoside 3-N-acetyltransferase
An_peroxidase	PF03098.14	Pfam	PF03098	Animal haem peroxidase
AOX	PF01786.16	Pfam	PF01786	Alternative oxidase
ApbA	PF02558.15	Pfam	PF02558	Ketopantoate reductase PanE/ApbA
ApbA_C	PF08546.10	Pfam	PF08546	Ketopantoate reductase PanE/ApbA C terminal
ApbE	PF02424.14	Pfam	PF02424	ApbE family
APH	PF01636.22	Pfam	PF01636	Phosphotransferase enzyme family
APH_6_hur	PF04655.13	Pfam	PF04655	Aminoglycoside/hydroxyurea antibiotic resistance kinase
APS_kinase	PF01583.19	Pfam	PF01583	Adenylylsulphate kinase
AP_endonuc_2	PF01261.23	Pfam	PF01261	Xylose isomerase-like TIM barrel
ArabFuran-catal	PF09206.10	Pfam	PF09206	Alpha-L-arabinofuranosidase B, catalytic
Arabinose_Isome	PF02610.14	Pfam	PF02610	L-arabinose isomerase
Arabinose_Iso_C	PF11762.7	Pfam	PF11762	L-arabinose isomerase C-terminal domain
Arabinose_trans	PF04602.11	Pfam	PF04602	Mycobacterial cell wall arabinan synthesis protein
ARD	PF03079.13	Pfam	PF03079	ARD/ARD' family
Arginase	PF00491.20	Pfam	PF00491	Arginase family
Arginosuc_synth	PF00764.18	Pfam	PF00764	Arginosuccinate synthase
ArgJ	PF01960.17	Pfam	PF01960	ArgJ family
Aromatic_hydrox	PF11723.7	Pfam	PF11723	Homotrimeric ring hydroxylase
ArsC	PF03960.14	Pfam	PF03960	ArsC family
ART	PF01129.17	Pfam	PF01129	NAD:arginine ADP-ribosyltransferase
Arylesterase	PF01731.19	Pfam	PF01731	Arylesterase
Arylsulfotrans	PF05935.10	Pfam	PF05935	Arylsulfotransferase (ASST)
Arylsulfotran_2	PF14269.5	Pfam	PF14269	Arylsulfotransferase (ASST)
ASL_C	PF08328.10	Pfam	PF08328	Adenylosuccinate lyase C-terminal
ASL_C2	PF14698.5	Pfam	PF14698	Argininosuccinate lyase C-terminal
AsnA	PF03590.14	Pfam	PF03590	Aspartate-ammonia ligase
Asp	PF00026.22	Pfam	PF00026	Eukaryotic aspartyl protease
Asparaginase	PF00710.19	Pfam	PF00710	Asparaginase, N-terminal
Asparaginase_2	PF01112.17	Pfam	PF01112	Asparaginase
Asparaginase_II	PF06089.11	Pfam	PF06089	L-asparaginase II
Aspzincin_M35	PF14521.5	Pfam	PF14521	Lysine-specific metallo-endopeptidase
Asp_Arg_Hydrox	PF05118.14	Pfam	PF05118	Aspartyl/Asparaginyl beta-hydroxylase
Asp_decarbox	PF02261.15	Pfam	PF02261	Aspartate decarboxylase
Asp_Glu_race	PF01177.21	Pfam	PF01177	Asp/Glu/Hydantoin racemase
Astacin	PF01400.23	Pfam	PF01400	Astacin (Peptidase family M12A)
AstB	PF04996.11	Pfam	PF04996	Succinylarginine dihydrolase
AstE_AspA	PF04952.13	Pfam	PF04952	Succinylglutamate desuccinylase / Aspartoacylase family
ATP-grasp_2	PF08442.9	Pfam	PF08442	ATP-grasp domain
ATP-grasp_3	PF02655.13	Pfam	PF02655	ATP-grasp domain
ATP-grasp_4	PF13535.5	Pfam	PF13535	ATP-grasp domain
ATP-grasp_5	PF13549.5	Pfam	PF13549	ATP-grasp domain
ATP-gua_Ptrans	PF00217.18	Pfam	PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain
ATP-sulfurylase	PF01747.16	Pfam	PF01747	ATP-sulfurylase
ATP-synt_ab	PF00006.24	Pfam	PF00006	ATP synthase alpha/beta family, nucleotide-binding domain
ATPase	PF06745.12	Pfam	PF06745	KaiC
ATPgrasp_Ter	PF15632.5	Pfam	PF15632	ATP-grasp in the biosynthetic pathway with Ter operon
ATP_bind_3	PF01171.19	Pfam	PF01171	PP-loop family
ATP_transf	PF09830.8	Pfam	PF09830	ATP adenylyltransferase
AXE1	PF05448.11	Pfam	PF05448	Acetyl xylan esterase (AXE1)
A_deamin	PF02137.17	Pfam	PF02137	Adenosine-deaminase (editase) domain
A_deaminase	PF00962.21	Pfam	PF00962	Adenosine/AMP deaminase
B12-binding	PF02310.18	Pfam	PF02310	B12 binding domain
B12-binding_2	PF02607.16	Pfam	PF02607	B12 binding domain
BAAT_C	PF08840.10	Pfam	PF08840	BAAT / Acyl-CoA thioester hydrolase C terminal
BacA	PF02673.17	Pfam	PF02673	Bacitracin resistance protein BacA
bact-PGI_C	PF10432.8	Pfam	PF10432	Bacterial phospho-glucose isomerase C-terminal SIS domain
Bac_GDH	PF05088.11	Pfam	PF05088	Bacterial NAD-glutamate dehydrogenase
Bac_luciferase	PF00296.19	Pfam	PF00296	Luciferase-like monooxygenase
Bac_rhamnosid	PF05592.10	Pfam	PF05592	Bacterial alpha-L-rhamnosidase concanavalin-like domain
Bac_rhamnosid_N	PF08531.9	Pfam	PF08531	Alpha-L-rhamnosidase N-terminal domain
BAH	PF01426.17	Pfam	PF01426	BAH domain
BATS	PF06968.12	Pfam	PF06968	Biotin and Thiamin Synthesis associated domain
BBE	PF08031.11	Pfam	PF08031	Berberine and berberine like
BCD	PF15461.5	Pfam	PF15461	Beta-carotene 15,15'-dioxygenase
BCDHK_Adom3	PF10436.8	Pfam	PF10436	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
BcrAD_BadFG	PF01869.19	Pfam	PF01869	BadF/BadG/BcrA/BcrD ATPase family
BcsB	PF03170.12	Pfam	PF03170	Bacterial cellulose synthase subunit
Beta-lactamase	PF00144.23	Pfam	PF00144	Beta-lactamase
BetaGal_dom2	PF10435.8	Pfam	PF10435	Beta-galactosidase, domain 2
BetaGal_dom3	PF13363.5	Pfam	PF13363	Beta-galactosidase, domain 3
BetaGal_dom4_5	PF13364.5	Pfam	PF13364	Beta-galactosidase jelly roll domain
Beta_elim_lyase	PF01212.20	Pfam	PF01212	Beta-eliminating lyase
Bet_v_1	PF00407.18	Pfam	PF00407	Pathogenesis-related protein Bet v I family
Bgal_small_N	PF02929.16	Pfam	PF02929	Beta galactosidase small chain
Bile_Hydr_Trans	PF04775.13	Pfam	PF04775	Acyl-CoA thioester hydrolase/BAAT N-terminal region
Biopterin_H	PF00351.20	Pfam	PF00351	Biopterin-dependent aromatic amino acid hydroxylase
Biotin_carb_C	PF02785.18	Pfam	PF02785	Biotin carboxylase C-terminal domain
Biotin_carb_N	PF00289.21	Pfam	PF00289	Biotin carboxylase, N-terminal domain
Biotin_lipoyl	PF00364.21	Pfam	PF00364	Biotin-requiring enzyme
BioW	PF03744.12	Pfam	PF03744	6-carboxyhexanoate--CoA ligase
BLUF	PF04940.11	Pfam	PF04940	Sensors of blue-light using FAD
BPL_C	PF02237.16	Pfam	PF02237	Biotin protein ligase C terminal domain
BPL_LplA_LipB	PF03099.18	Pfam	PF03099	Biotin/lipoate A/B protein ligase family
BPL_N	PF09825.8	Pfam	PF09825	Biotin-protein ligase, N terminal
Branch	PF02485.20	Pfam	PF02485	Core-2/I-Branching enzyme
BRO1	PF03097.17	Pfam	PF03097	BRO1-like domain
BtrH_N	PF14399.5	Pfam	PF14399	Butirosin biosynthesis protein H, N-terminal
B_lectin	PF01453.23	Pfam	PF01453	D-mannose binding lectin
C1q	PF00386.20	Pfam	PF00386	C1q domain
C1_1	PF00130.21	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)
C1_2	PF03107.15	Pfam	PF03107	C1 domain
Cadherin-like	PF12733.6	Pfam	PF12733	Cadherin-like beta sandwich domain
Caleosin	PF05042.12	Pfam	PF05042	Caleosin related protein
Calpain_III	PF01067.21	Pfam	PF01067	Calpain large subunit, domain III
Carbam_trans_N	PF02543.14	Pfam	PF02543	Carbamoyltransferase N-terminus
Carboxyl_trans	PF01039.21	Pfam	PF01039	Carboxyl transferase domain
Carb_anhydrase	PF00194.20	Pfam	PF00194	Eukaryotic-type carbonic anhydrase
Carb_bind	PF10645.8	Pfam	PF10645	Carbohydrate binding
Carb_kinase	PF01256.16	Pfam	PF01256	Carbohydrate kinase
CARDB	PF07705.10	Pfam	PF07705	CARDB
Carn_acyltransf	PF00755.19	Pfam	PF00755	Choline/Carnitine o-acyltransferase
CarS-like	PF01864.16	Pfam	PF01864	CDP-archaeol synthase
CAT	PF00302.17	Pfam	PF00302	Chloramphenicol acetyltransferase
Catalase	PF00199.18	Pfam	PF00199	Catalase
Catalase-rel	PF06628.11	Pfam	PF06628	Catalase-related immune-responsive
CBAH	PF02275.17	Pfam	PF02275	Linear amide C-N hydrolases, choloylglycine hydrolase family
CbiA	PF01656.22	Pfam	PF01656	CobQ/CobB/MinD/ParA nucleotide binding domain
CbiC	PF02570.14	Pfam	PF02570	Precorrin-8X methylmutase
CbiD	PF01888.16	Pfam	PF01888	CbiD
CbiG_C	PF01890.15	Pfam	PF01890	Cobalamin synthesis G C-terminus
CbiG_mid	PF11761.7	Pfam	PF11761	Cobalamin biosynthesis central region
CbiG_N	PF11760.7	Pfam	PF11760	Cobalamin synthesis G N-terminal
CbiJ	PF02571.13	Pfam	PF02571	Precorrin-6x reductase CbiJ/CobK
CbiK	PF06180.10	Pfam	PF06180	Cobalt chelatase (CbiK)
CbiX	PF01903.16	Pfam	PF01903	CbiX
CbiZ	PF01955.17	Pfam	PF01955	Adenosylcobinamide amidohydrolase
CBM-like	PF14683.5	Pfam	PF14683	Polysaccharide lyase family 4, domain III
CBM9_1	PF06452.10	Pfam	PF06452	Carbohydrate family 9 binding domain-like
CBM_1	PF00734.17	Pfam	PF00734	Fungal cellulose binding domain
CBM_10	PF02013.15	Pfam	PF02013	Cellulose or protein binding domain
CBM_14	PF01607.23	Pfam	PF01607	Chitin binding Peritrophin-A domain
CBM_19	PF03427.12	Pfam	PF03427	Carbohydrate binding domain (family 19)
CBM_2	PF00553.18	Pfam	PF00553	Cellulose binding domain
CBM_21	PF03370.12	Pfam	PF03370	Carbohydrate/starch-binding module (family 21)
CBM_3	PF00942.17	Pfam	PF00942	Cellulose binding domain
CBM_4_9	PF02018.16	Pfam	PF02018	Carbohydrate binding domain
CBM_5_12	PF02839.13	Pfam	PF02839	Carbohydrate binding domain
CBM_6	PF03422.14	Pfam	PF03422	Carbohydrate binding module (family 6)
CBM_X2	PF03442.13	Pfam	PF03442	Carbohydrate binding domain X2
CBS	PF00571.27	Pfam	PF00571	CBS domain
CCG	PF02754.15	Pfam	PF02754	Cysteine-rich domain
CcmE	PF03100.14	Pfam	PF03100	CcmE
CCP_MauG	PF03150.13	Pfam	PF03150	Di-haem cytochrome c peroxidase
CDH	PF02611.14	Pfam	PF02611	CDP-diacylglycerol pyrophosphatase
CDO_I	PF05995.11	Pfam	PF05995	Cysteine dioxygenase type I
CDP-OH_P_transf	PF01066.20	Pfam	PF01066	CDP-alcohol phosphatidyltransferase
Cellulase	PF00150.17	Pfam	PF00150	Cellulase (glycosyl hydrolase family 5)
Cellulose_synt	PF03552.13	Pfam	PF03552	Cellulose synthase
Ceramidase	PF05875.11	Pfam	PF05875	Ceramidase
Ceramidase_alk	PF04734.12	Pfam	PF04734	Neutral/alkaline non-lysosomal ceramidase, N-terminal
Chalcone	PF02431.14	Pfam	PF02431	Chalcone-flavanone isomerase
CHAP	PF05257.15	Pfam	PF05257	CHAP domain
CHB_HEX_C	PF03174.12	Pfam	PF03174	Chitobiase/beta-hexosaminidase C-terminal domain
CheB_methylest	PF01339.16	Pfam	PF01339	CheB methylesterase
CheD	PF03975.12	Pfam	PF03975	CheD chemotactic sensory transduction
CheR	PF01739.17	Pfam	PF01739	CheR methyltransferase, SAM binding domain
CheR_N	PF03705.14	Pfam	PF03705	CheR methyltransferase, all-alpha domain
ChiC	PF06483.10	Pfam	PF06483	Chitinase C
ChitinaseA_N	PF08329.9	Pfam	PF08329	Chitinase A, N-terminal domain
Chitin_bind_1	PF00187.18	Pfam	PF00187	Chitin recognition protein
Chitin_synth_1	PF01644.16	Pfam	PF01644	Chitin synthase
Chitin_synth_1N	PF08407.10	Pfam	PF08407	Chitin synthase N-terminal
Chloroa_b-bind	PF00504.20	Pfam	PF00504	Chlorophyll A-B binding protein
Chlorophyllase	PF07224.10	Pfam	PF07224	Chlorophyllase
Chlorophyllase2	PF12740.6	Pfam	PF12740	Chlorophyllase enzyme
Chlor_dismutase	PF06778.11	Pfam	PF06778	Chlorite dismutase
CHMI	PF02962.14	Pfam	PF02962	5-carboxymethyl-2-hydroxymuconate isomerase
Choline_kinase	PF01633.19	Pfam	PF01633	Choline/ethanolamine kinase
Choline_sulf_C	PF12411.7	Pfam	PF12411	Choline sulfatase enzyme C terminal
Chondroitinas_B	PF14592.5	Pfam	PF14592	Chondroitinase B
Chorismate_bind	PF00425.17	Pfam	PF00425	chorismate binding enzyme
Chorismate_synt	PF01264.20	Pfam	PF01264	Chorismate synthase
CHU_C	PF13585.5	Pfam	PF13585	C-terminal domain of CHU protein family
CinA	PF02464.16	Pfam	PF02464	Competence-damaged protein
CitF	PF04223.11	Pfam	PF04223	Citrate lyase, alpha subunit (CitF)
CitG	PF01874.15	Pfam	PF01874	ATP:dephospho-CoA triphosphoribosyl transferase
Citrate_ly_lig	PF08218.10	Pfam	PF08218	Citrate lyase ligase C-terminal domain
Citrate_synt	PF00285.20	Pfam	PF00285	Citrate synthase, C-terminal domain
CitX	PF03802.13	Pfam	PF03802	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
ClpB_D2-small	PF10431.8	Pfam	PF10431	C-terminal, D2-small domain, of ClpB protein
CLP_protease	PF00574.22	Pfam	PF00574	Clp protease
CMAS	PF02353.19	Pfam	PF02353	Mycolic acid cyclopropane synthetase
CMD	PF02627.19	Pfam	PF02627	Carboxymuconolactone decarboxylase family
CM_1	PF07736.10	Pfam	PF07736	Chorismate mutase type I
CM_2	PF01817.20	Pfam	PF01817	Chorismate mutase type II
CNH	PF00780.21	Pfam	PF00780	CNH domain
