genome	sequence_id	bgc_id	start	end	compound	smiles	inchikey	reference
CP095376.1	CP095376.1	CP095376.1_cluster1	9066363	9075488	molybdopterin	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)NC(=N3)N)S)S)OP(=O)(O)O	HPEUEJRPDGMIMY-UHFFFAOYSA-N	pubmed:24814342
DS999645.1	DS999645.1	DS999645.1_cluster1	1784485	1798505	mansouramycin A	CC1=C2C(=O)C=C(C(=O)C2=CN=C1C)NC	SDLNCVBYFYLESJ-UHFFFAOYSA-N	pubmed:33445110
CP012672.1	CP012672.1	CP012672.1_cluster1	5511280	5581730	icumazole B1	CC[C@H](C)CC1=C(C2=C(C[C@H](OC2=O)C[C@H](/C=C\C=C/C=C/C3=COC(=N3)C[C@@H]([C@H](C)[C@@H](CC)O)O[C@@H]4[C@H]([C@@H]([C@H](O4)CO)O)O)OC)C=C1)O	NQLYUYKWUDRQGP-KOEMGQAXSA-N	doi:10.21203/rs.3.rs-2066606/v1
JAFETE01	JAFETE010000011.1	JAFETE010000011.1_cluster1	364550	380000	benditerpenoic acid	C[C@H]1CC[C@H]([C@H]2[C@@H]1CC/C(=C/C[C@@H](C(=C2)C(=O)O)O)/C)C(=C)C	JAPJJUWCCYKHOP-DAHPMHTDSA-N	pubmed:33780586
CP007699.2	CP007699.2	CP007699.2_cluster1	710560	723900	azoxymycin B	[H]OC(=O)C([H])=C([H])C([H])=C([H])C1=C([H])C([H])=C(N=[N+]([O-])C2=C([H])C([H])=C(C([H])=C([H])C([H])=C([H])C(=O)N([H])C([H])(C(=O)O[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])=C2[H])C([H])=C1[H]	YUKFJTPWSMXPSM-UHFFFAOYSA-N	pubmed:26623715
CM003601.1	NZ_CM003601.1	NZ_CM003601.1_cluster1	4505400	4533900	chalkophomycin	n1(cccc1C1=N[C@@H](CO1)C(=O)N1C(=O)C=C([C@@H]1CCCN(N=O)O)OC)O	IZBZNTKRMOWMNR-QWRGUYRKSA-N	doi:10.1101/2024.01.24.577118
CP017708.2	CP017708.2	CP017708.2_cluster1	3923980	3965670	hectoramide B	c1(ccc(cc1)C[C@@H](C(=O)N([C@@H](C(C)C)C(=O)N(C)[C@H](C(=O)N)C(C)C)C)OC(=O)[C@@H](N(C)C)Cc1ccc(cc1)OC)OC	GAMJGRMMDUQHCD-KRCBVYEFSA-N	doi:10.1101/2023.07.06.547815
CP000085.1	CP000085.1	CP000085.1_cluster1	23750	30350	aminopyruvatide A	c1c(c2-c3c(ccc(c3)[C@H]([C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc(c2)c1)NC(=O)CN)CC(C)C)C(=O)N[C@H](C(=O)C(=O)O)C)C)O)O	HLDGERFJLVUEFN-QBEMBUEOSA-N	doi:10.1101/2023.10.30.564719
CP001778.1	CP001778.1	CP001778.1_cluster1	4322600	4339300	threopeptin	C=CC(=O)[C@@H](NC(=O)N[C@H](C(=O)N[C@H](C(=O)O)[C@@H](C)O)CCCNC(=N)N)CCCNC(=N)N	VGIZJKOLOSBGDA-UHXUPSOCSA-N	doi:10.1101/2023.12.23.573212 

